B cells naive	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells regulatory (Tregs)	NK cells resting	Monocytes	Macrophages M2	Dendritic cells activated	Mast cells resting	Eosinophils	Neutrophils
0	0	0.106754772284355	0.0515650957355921	0.0787185137411805	0	0.022818160616947	0.0963108006966756	0.170334652982803	0.0055564845146313	0	0.0133494821805839	0	0.454592037247232
0.0582432838951662	0.00508672895729759	0.0731355083055496	0.151708457559818	0.0236739082439131	0.00241885458350878	3.97104076305762e-4	0.17257063278171	0.134779598058045	0.00588379809696702	0.00212866295834005	0.002437257788998	0	0.367095138254192
0.0225253989711711	0	0.121288012235399	0.0146557892588077	0.0999911492318484	0	0.0247201309630359	0.118176068801181	0.144300598280581	0.0075804578820907	0.0048545428383973	0.0129942745361077	0	0.428913577001381
0.0642213843211013	0	0.0781022151617855	0.146271618682368	0.00245221294151416	0	0	0.204669008012067	0.0541478921183053	0.0117170785679209	0.00246012861470515	0	0	0.435958461580232
0.0408276536562163	0.00289129773799581	0.0247937443107624	0.0680221524495044	0.0232296277412389	0.00903910018874732	0.0130512460216286	0.0681679627428765	0.181226399877169	0	0.0261917611371635	0.0183585567809153	0	0.518598197722486
0.0187663485845386	0.00200670703793121	0.0973494990925819	0.0483211734469391	0.0445787563413611	0	0	0.0926718852834381	0.108051272879247	0.00243782514033991	0.00755119500024423	0.00817378603154266	0	0.570091551161836
0.0953043681524023	4.93109660843078e-4	0.167981117298451	0.0270959436471216	0.0845009351849164	0	0.00527716733299954	0.162574429430461	0.094721573973778	0.00308757646621412	0	0	0	0.358963778852813
0.0884533614619179	0.00426618611355816	0.0435548274661605	0.122062177902273	0.128737296626347	0	0	0.0566819479753841	0.0674760950497749	9.15361053340766e-4	0.00762030147631245	0.0141683513675743	0	0.466064093507357
0.00716399883825089	0	0.0960406755938139	0.148892157487762	0.0552760931716074	0.00181721442021762	0	0.127656433757853	0.113611541143023	0.0025724773928697	0.0020209318251778	0	0	0.425484297725716
0.0558529519299737	0	0.188161091865701	0.0352548494549268	0.122072320016616	0	0	0.146001391759424	0.150431504283779	0.00131363175711963	0.0012834153533712	0	0	0.299628843579089
0.0308113321754212	0.00122471061102677	0.0117922077740853	0.0858247222313562	0.172771461752328	8.0227494216965e-4	0	0.06676162809107	0.177344619125961	0	0.00612722401521581	0.0104933490698383	0	0.427503766399557
0.0793192590600028	0	0.282994244110497	0.0766332669480054	0.0306429334015511	0.00308305013825436	0.00215743678683563	0.088574372903572507	0.0348037260640643	0	0.00263765086146289	0	0	0.399154059725754
0.0942501664557784	0	0.0785779192027879	0.0739098388128922	0.0548720130881201	0	0.00611649482925965	0.0994170784148394	0.0960316938470549	0	0.00143530838714778	0.00389135052699005	0	0.49149813643513
0.0869711247504244	0.00447499338048919	0.0644915627228828	0	0.0916428533067677	0	0	0.0935557645570002	0.104391201258611	0.00350656541855854	6.89593496294918e-4	0	0	0.550276341108971
0.0822847362975954	0	0.139498096326011	0.140211940002331	0.122056274194451	0	0.00132675858942292	0.0988962616883991	0.0524365469780477	0.00365687636589414	4.01932861819505e-4	0.00383044706025794	0.0245804531181347	0.330819676517636
0.0176092738081576	0	0.0812620109211824	0.0614921328298111	0.0641274965292953	0	0	0.102362391433093	0.13830843013039	0.00143062082671081	0	5.35629109054876e-4	0	0.532872014412305
0.107636952160282	0.0060948068007848	0.055455050778376	0.0779699730129268	0.145334839207353	0	0	0.131251140784587	0.0995025906300428	6.19955860988902e-4	0.00216337561064344	0	0	0.373971315154015
0.0337097611156134	0.00658332532283171	0.126925533501466	0.199514387418053	0.021180105652841	0.00185509507970452	0.00272278285641657	0.186281145309484	0.0821866864511736	0	0	0	0	0.339041177292416
0.00480742069351487	0	0.106914343812105	0.275085810448222	0.00726931269309641	0.00313105408316935	0.00996834213516217	0.0895649939413174	0.0399270569262595	0	0	0	0	0.434970467122817
0.0674691645700804	1.47501952208954e-4	0.11204518117813	0.00548354345014049	0.135240319529518	0	0	0.173575090231973	0.0551115993835131	0.00871905330304341	0	0	0	0.442208546401393
0.0500498464231108	0	0.22529792910373	0	0.126084867349795	0	0	0.151107700680327	0.159164584017459	6.40801175892145e-4	0	0.00902239798660865	0	0.278631873263078
